,Unnamed: 0,Date,Rate,currency,rate,year,month,month_str
323,324,2005-09-01,{'CNY': 10.086105},CNY,10.086105,2005,9,Sept
324,325,2006-09-01,{'USD': 1.283005},USD,1.283005,2006,9,Sept
325,326,2006-09-01,{'GBP': 0.673462},GBP,0.673462,2006,9,Sept
326,327,2006-09-01,{'JPY': 150.347902},JPY,150.347902,2006,9,Sept
327,328,2006-09-01,{'CNY': 10.205017},CNY,10.205017,2006,9,Sept
328,329,2007-09-01,{'USD': 1.366436},USD,1.366436,2007,9,Sept
329,330,2007-09-01,{'GBP': 0.676778},GBP,0.676778,2007,9,Sept
330,331,2007-09-01,{'JPY': 158.510796},JPY,158.510796,2007,9,Sept
331,332,2007-09-01,{'CNY': 10.309746},CNY,10.309746,2007,9,Sept
332,333,2008-09-01,{'USD': 1.462553},USD,1.462553,2008,9,Sept
333,334,2008-09-01,{'GBP': 0.810202},GBP,0.810202,2008,9,Sept
334,335,2008-09-01,{'JPY': 158.143554},JPY,158.143554,2008,9,Sept
335,336,2008-09-01,{'CNY': 9.988058},CNY,9.988058,2008,9,Sept
336,337,2009-09-01,{'USD': 1.4237},USD,1.4237,2009,9,Sept
337,338,2009-09-01,{'GBP': 0.879273},GBP,0.879273,2009,9,Sept
338,339,2009-09-01,{'JPY': 132.45878},JPY,132.45878,2009,9,Sept
339,340,2009-09-01,{'CNY': 9.724034},CNY,9.724034,2009,9,Sept
340,341,2010-09-01,{'USD': 1.280557},USD,1.280557,2010,9,Sept
341,342,2010-09-01,{'GBP': 0.829463},GBP,0.829463,2010,9,Sept
342,343,2010-09-01,{'JPY': 107.950853},JPY,107.950853,2010,9,Sept
343,344,2010-09-01,{'CNY': 8.721855},CNY,8.721855,2010,9,Sept
344,345,2011-09-01,{'USD': 1.427489},USD,1.427489,2011,9,Sept
345,346,2011-09-01,{'GBP': 0.881693},GBP,0.881693,2011,9,Sept
346,347,2011-09-01,{'JPY': 109.807116},JPY,109.807116,2011,9,Sept
347,348,2011-09-01,{'CNY': 9.109004},CNY,9.109004,2011,9,Sept
